FREQ,Re(V(N_B)),Im(V(N_B)),Re(V(N_S)),Im(V(N_S)),Re(V(N_C)),Im(V(N_C)),Re(V(N_E_FORCED)),Im(V(N_E_FORCED)),Re(V(N_E)),Im(V(N_E)),Re(V(N_CX)),Im(V(N_CX)),Re(V(N_BX)),Im(V(N_BX)),Re(V(N_EX)),Im(V(N_EX)),Re(V(N_C_FORCED)),Im(V(N_C_FORCED)),Re(V(N_TNODE)),Im(V(N_TNODE)),Re(V(N_B_FORCED)),Im(V(N_B_FORCED)),Re(V(N_SX)),Im(V(N_SX)),Re(I(VV_B)),Im(I(VV_B)),Re(I(VV_C)),Im(I(VV_C)),Re(I(VV_E)),Im(I(VV_E)),Re(I(RI_S)),Im(I(RI_S)),Re(I(RI_B)),Im(I(RI_B)),Re(I(RI_E)),Im(I(RI_E)),Re(I(RI_C)),Im(I(RI_C))
1.00000000e+08,1.00000000e+00,-1.35635578e-33,1.00000000e+00,-3.96373294e-29,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-3.96373294e-29,8.52223468e-25,-1.35635578e-30,1.93647865e-14,-1.19209290e-07,0.00000000e+00,-7.92746588e-30,-1.15492077e-25,7.92746588e-30,-8.52223468e-25,1.35635578e-30,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,-1.66178590e-32,1.00000000e+00,-1.26838693e-25,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-1.26838693e-25,1.04413087e-22,-1.66178590e-29,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.53677386e-26,-3.69572428e-23,2.53677386e-26,-1.04413087e-22,1.66178590e-29,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,-1.35635578e-33,1.00000000e+00,-3.96373294e-29,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-3.96373294e-29,8.52223468e-25,-1.35635578e-30,1.93647865e-14,-1.19209290e-07,0.00000000e+00,-7.92746588e-30,-1.15492077e-25,7.92746588e-30,-8.52223468e-25,1.35635578e-30,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,-1.66178590e-32,1.00000000e+00,-1.26838693e-25,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-1.26838693e-25,1.04413087e-22,-1.66178590e-29,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.53677386e-26,-3.69572428e-23,2.53677386e-26,-1.04413087e-22,1.66178590e-29,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,-1.80938222e-22,1.00000000e+00,1.12485084e-28,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.12485084e-28,1.13686838e-13,-1.80938222e-19,1.93647865e-14,-1.19209290e-07,0.00000000e+00,2.24970168e-29,3.36970945e-25,-2.24970168e-29,-1.13686838e-13,1.80938222e-19,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,-1.80938222e-23,1.00000000e+00,1.35525302e-19,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.35525302e-19,1.13686838e-13,-1.80938222e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.71050603e-20,-9.10981819e-24,-2.71050603e-20,-1.13686838e-13,1.80938222e-20,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,-1.80938222e-22,1.00000000e+00,1.12485084e-28,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.12485084e-28,1.13686838e-13,-1.80938222e-19,1.93647865e-14,-1.19209290e-07,0.00000000e+00,2.24970168e-29,3.36970945e-25,-2.24970168e-29,-1.13686838e-13,1.80938222e-19,-0.00000000e+00,-0.00000000e+00,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,-1.80938222e-23,1.00000000e+00,1.35525302e-19,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,1.35525302e-19,1.13686838e-13,-1.80938222e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.71050603e-20,-9.10981819e-24,-2.71050603e-20,-1.13686838e-13,1.80938222e-20,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
1.00000000e+08,1.00000000e+00,-9.73166524e-34,1.00000000e+00,-1.69406589e-20,1.00000000e+00,-2.11758237e-22,1.00000000e+00,-0.00000000e+00,1.00000000e+00,4.23516474e-22,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-1.69406589e-20,6.11458561e-25,-9.73166524e-31,1.93647865e-14,-1.19209290e-07,-3.87190280e-14,1.19209290e-07,3.28639766e-25,3.38813178e-21,-6.11458561e-25,9.73166524e-31,3.87295730e-14,-1.19209290e-07,-1.93647865e-14,1.19209290e-07
1.00000000e+09,1.00000000e+00,-6.35759260e-33,1.00000000e+00,-5.71392111e-26,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,-0.00000000e+00,1.00000000e+00,-5.71392111e-26,3.99459324e-23,-6.35759260e-30,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.14278422e-26,-1.75687793e-23,1.14278422e-26,-3.99459324e-23,6.35759260e-30,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00
