 time            in              out             time            v1#branch       vdd             vdd#branch      vmeas#branch    vss            
 2.25000000e-10  1.20000000e+00  5.56511255e-05  2.25000000e-10 -8.09544405e-08  1.20000000e+00 -1.12689790e-08  9.22234195e-08  0.00000000e+00 
 2.35000000e-10  1.20000000e+00 -3.51204778e-05  2.35000000e-10  6.22822806e-08  1.20000000e+00 -9.48098797e-09 -5.28012926e-08  0.00000000e+00 
 2.45000000e-10  1.20000000e+00  3.49467939e-05  2.45000000e-10 -4.78662327e-08  1.20000000e+00 -1.08641113e-08  5.87303440e-08  0.00000000e+00 
 2.55000000e-10  1.20000000e+00 -1.91362943e-05  2.55000000e-10  3.67405734e-08  1.20000000e+00 -9.79350227e-09 -2.69470711e-08  0.00000000e+00 
 2.65000000e-10  1.20000000e+00  2.26104269e-05  2.65000000e-10 -2.81516612e-08  1.20000000e+00 -1.06228861e-08  3.87745473e-08  0.00000000e+00 
 2.75000000e-10  1.20000000e+00 -9.61301924e-06  2.75000000e-10  2.15226614e-08  1.20000000e+00 -9.97970180e-09 -1.15429596e-08  0.00000000e+00 
 2.85000000e-10  1.20000000e+00  1.52601029e-05  2.85000000e-10 -1.64054068e-08  1.20000000e+00 -1.04791612e-08  2.68845680e-08  0.00000000e+00 
 2.95000000e-10  1.20000000e+00 -3.93904269e-06  2.95000000e-10  1.24556994e-08  1.20000000e+00 -1.00906416e-08 -2.36505776e-09  0.00000000e+00 
 3.05000000e-10  1.20000000e+00  1.08806326e-05  3.05000000e-10 -9.40682165e-09  1.20000000e+00 -1.03935281e-08  1.98003498e-08  0.00000000e+00 
 3.15000000e-10  1.20000000e+00 -5.58457241e-07  3.15000000e-10  7.05351419e-09  1.20000000e+00 -1.01567408e-08  3.10322662e-09  0.00000000e+00 
 3.25000000e-10  1.20000000e+00  8.27127118e-06  3.25000000e-10 -5.23697221e-09  1.20000000e+00 -1.03425070e-08  1.55794792e-08  0.00000000e+00 
 3.35000000e-10  1.20000000e+00  1.45572234e-06  3.35000000e-10  3.83483498e-09  1.20000000e+00 -1.01961235e-08  6.36128851e-09  0.00000000e+00 
 3.45000000e-10  1.20000000e+00  6.71657531e-06  3.45000000e-10 -2.75252331e-09  1.20000000e+00 -1.03121079e-08  1.30646313e-08  0.00000000e+00 
 3.55000000e-10  1.20000000e+00  2.65578959e-06  3.55000000e-10  1.91711030e-09  1.20000000e+00 -1.02195881e-08  8.30247785e-09  0.00000000e+00 
 3.65000000e-10  1.20000000e+00  5.79026653e-06  3.65000000e-10 -1.27225821e-09  1.20000000e+00 -1.02939958e-08  1.15662541e-08  0.00000000e+00 
 3.75000000e-10  1.20000000e+00  3.37080212e-06  3.75000000e-10  7.74508189e-10  1.20000000e+00 -1.02335687e-08  9.45906048e-09  0.00000000e+00 
 3.85000000e-10  1.20000000e+00  5.23835991e-06  3.85000000e-10 -3.90298422e-10  1.20000000e+00 -1.02832045e-08  1.06735029e-08  0.00000000e+00 
 3.95000000e-10  1.20000000e+00  3.79681440e-06  3.95000000e-10  9.37327148e-11  1.20000000e+00 -1.02418984e-08  1.01481657e-08  0.00000000e+00 
 4.05000000e-10  1.20000000e+00  4.90952713e-06  4.05000000e-10  1.35183734e-10  1.20000000e+00 -1.02767748e-08  1.01415911e-08  0.00000000e+00 
 4.15000000e-10  1.20000000e+00  4.05063732e-06  4.15000000e-10 -3.11881207e-10  1.20000000e+00 -1.02468614e-08  1.05587426e-08  0.00000000e+00 
 4.25000000e-10  1.20000000e+00  4.71360457e-06  4.25000000e-10  4.48272229e-10  1.20000000e+00 -1.02729440e-08  9.82467172e-09  0.00000000e+00 
 4.35000000e-10  1.20000000e+00  4.20186791e-06  4.35000000e-10 -5.53550708e-10  1.20000000e+00 -1.02498184e-08  1.08033691e-08  0.00000000e+00 
 4.45000000e-10  1.20000000e+00  4.59687157e-06  4.45000000e-10  6.34814049e-10  1.20000000e+00 -1.02706615e-08  9.63584743e-09  0.00000000e+00 
 4.55000000e-10  1.20000000e+00  4.29197285e-06  4.55000000e-10 -6.97540221e-10  1.20000000e+00 -1.02515802e-08  1.09491204e-08  0.00000000e+00 
 4.65000000e-10  1.20000000e+00  4.52732066e-06  4.65000000e-10  7.45957863e-10  1.20000000e+00 -1.02693016e-08  9.52334370e-09  0.00000000e+00 
 4.75000000e-10  1.20000000e+00  4.34565842e-06  4.75000000e-10 -7.83330858e-10  1.20000000e+00 -1.02526299e-08  1.10359608e-08  0.00000000e+00 
 4.85000000e-10  1.20000000e+00  4.48588141e-06  4.85000000e-10  8.12178654e-10  1.20000000e+00 -1.02684913e-08  9.45631265e-09  0.00000000e+00 
 4.95000000e-10  1.20000000e+00  4.37764492e-06  4.95000000e-10 -8.34445926e-10  1.20000000e+00 -1.02532553e-08  1.10877013e-08  0.00000000e+00 
 5.05000000e-10  1.20000000e+00  4.46119142e-06  5.05000000e-10  8.51633780e-10  1.20000000e+00 -1.02680085e-08  9.41637476e-09  0.00000000e+00 
